site_protocol_code,range_code,survey_point_number,deployment_cycle,range_name,aru_sampling_rate,aru_recording_time_in_seconds,aru_sleep_time_in_seconds,aru_sampling_times,first_file_date,first_file_time,last_file_date,last_file_time,notes,latitude,longitude,elevation_in_metres
LEEW_PO35_D2,LEEW,PO35,D2,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250114,100000,20250211,103000,NA,13.217608,-61.233798,537.2063599
LEEW_PO35_D3,LEEW,PO35,D3,Leeward,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250429,100000,20250526,44000,NA,13.217608,-61.233798,537.2063599
WINO_PO1_D1,WINO,PO1,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241108,173000,20241212,45000,NA,13.37237333,-61.16759167,199.9620361
WINO_PO1_D2,WINO,PO1,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,103000,20250125,44000,NA,13.37237333,-61.16759167,199.9620361
WINO_PO2_D1,WINO,PO2,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241124,181000,20241227,124000,NA,13.373185,-61.15678,285.7391357
WINO_PO2_D2,WINO,PO2,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,115000,20250111,183000,NA,13.373185,-61.15678,285.7391357
WINO_PO2_D3,WINO,PO2,D3,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250302,173000,20250327,121000,NA,13.373185,-61.15678,285.7391357
WINO_PO3_D1,WINO,PO3,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250109,112000,20250208,112000,NA,13.363813,-61.148082,288.4593506
WINO_PO3_D2,WINO,PO3,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250509,64000,20250606,111000,NA,13.363813,-61.148082,288.4593506
WINO_PO4_D1,WINO,PO4,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241121,105000,20241224,105000,NA,13.345388,-61.139628,251.8390808
WINO_PO4_D2,WINO,PO4,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250109,113000,20250208,40000,NA,13.345388,-61.139628,251.8390808
WINO_PO4_D3,WINO,PO4,D3,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250228,100000,20250327,173000,NA,13.345388,-61.139628,251.8390808
WINO_PO4_D4,WINO,PO4,D4,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250403,100000,20250502,120000,NA,13.345388,-61.139628,251.8390808
WINO_PO4_D5,WINO,PO4,D5,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250511,173000,20250609,51000,NA,13.345388,-61.139628,251.8390808
WINO_PO5_D1,WINO,PO5,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241108,110000,20241212,65000,NA,13.343589,-61.157725,792.5465088
WINO_PO5_D2,WINO,PO5,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250114,113000,20250119,112000,NA,13.343589,-61.157725,792.5465088
WINO_PO5_D3,WINO,PO5,D3,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250228,100000,20250330,65000,NA,13.343589,-61.157725,792.5465088
WINO_PO6_D1,WINO,PO6,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241108,122000,20241212,65000,NA,13.33425,-61.150058,483.6058655
WINO_PO6_D2,WINO,PO6,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250114,101000,20250130,65000,NA,13.33425,-61.150058,483.6058655
WINO_PO6_D3,WINO,PO6,D3,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250228,100000,20250322,185000,NA,13.33425,-61.150058,483.6058655
WINO_PO6_D4,WINO,PO6,D4,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250403,64000,20250411,185000,NA,13.33425,-61.150058,483.6058655
WINO_PO6_D5,WINO,PO6,D5,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250509,55000,20250609,51000,NA,13.33425,-61.150058,483.6058655
WINO_PO7_D1,WINO,PO7,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241118,101000,20241221,180000,NA,13.326072,-61.154375,518.0361938
WINO_PO7_D2,WINO,PO7,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,112000,20250208,63000,NA,13.326072,-61.154375,518.0361938
WINO_PO7_D3,WINO,PO7,D3,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250301,40000,20250328,181000,NA,13.326072,-61.154375,518.0361938
WINO_PO7_D4,WINO,PO7,D4,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250403,112000,20250503,54000,NA,13.326072,-61.154375,518.0361938
WINO_PO7_D5,WINO,PO7,D5,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250509,102000,20250608,123000,NA,13.326072,-61.154375,518.0361938
WINO_PO8_D1,WINO,PO8,D1,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241122,111000,20241223,50000,NA,13.32535,-61.175811,821.9876709
WINO_PO8_D2,WINO,PO8,D2,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250107,102000,20250209,103000,NA,13.32535,-61.175811,821.9876709
WINO_PO8_D3,WINO,PO8,D3,Windward North,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250228,111000,20250312,42000,NA,13.32535,-61.175811,821.9876709
WISO_PO10_D1,WISO,PO10,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241113,100000,20241212,113000,NA,13.28873,-61.14175667,209.9852753
WISO_PO10_D2,WISO,PO10,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241219,134000,20250119,121000,NA,13.28873,-61.14175667,209.9852753
WISO_PO11_D1,WISO,PO11,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241108,133000,20241210,113000,NA,13.27519,-61.13312,161.661377
WISO_PO11_D2,WISO,PO11,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241219,173000,20250120,103000,NA,13.27519,-61.13312,161.661377
WISO_PO11_D3,WISO,PO11,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250205,115000,20250305,121000,NA,13.27519,-61.13312,161.661377
WISO_PO11_D4,WISO,PO11,D4,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250312,124000,20250411,110000,NA,13.27519,-61.13312,161.661377
WISO_PO11_D5,WISO,PO11,D5,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250520,114000,20250610,121000,NA,13.27519,-61.13312,161.661377
WISO_PO12_D1,WISO,PO12,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241108,110000,20241210,102000,NA,13.271025,-61.14769333,313.2775879
WISO_PO13_D1,WISO,PO13,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241113,100000,20241212,124000,NA,13.277545,-61.15378833,333.5974426
WISO_PO13_D2,WISO,PO13,D2,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241223,173000,20250121,105000,NA,13.277545,-61.15378833,333.5974426
WISO_PO13_D3,WISO,PO13,D3,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250211,100000,20250311,130000,NA,13.277545,-61.15378833,333.5974426
WISO_PO13_D4,WISO,PO13,D4,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250401,135000,20250502,103000,NA,13.277545,-61.15378833,333.5974426
WISO_PO13_D5,WISO,PO13,D5,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20250519,131000,20250616,103000,NA,13.277545,-61.15378833,333.5974426
WISO_PO14_D1,WISO,PO14,D1,Windward South,32000,300,900,04:00-07:00; 10:00-14:00; 17:30-19:00,20241113,122000,20241212,65000,NA,13.264815,-61.15767167,378.6626587
